s,a,t,Stocks Bought,Stocks Sold
RenewableEnergies,20,3,0.0,0.0
RenewableEnergies,20,4,0.0,0.0
RenewableEnergies,20,5,0.0,0.0
RenewableEnergies,20,6,0.0,0.0
RenewableEnergies,21,1,0.0,0.0
RenewableEnergies,21,2,0.0,0.0
RenewableEnergies,21,3,0.0,0.0
RenewableEnergies,21,4,0.0,0.0
RenewableEnergies,21,5,0.0,0.0
RenewableEnergies,21,6,0.0,0.0
RenewableEnergies,22,1,0.0,0.0
RenewableEnergies,22,2,0.0,0.0
RenewableEnergies,22,3,0.0,0.0
RenewableEnergies,22,4,0.0,0.0
RenewableEnergies,22,5,0.0,0.0
RenewableEnergies,22,6,0.0,0.0
RenewableEnergies,23,1,0.0,0.0
RenewableEnergies,23,2,0.0,0.0
RenewableEnergies,23,3,0.0,0.0
RenewableEnergies,23,4,0.0,0.0
RenewableEnergies,23,5,0.0,0.0
RenewableEnergies,23,6,0.0,0.0
RenewableEnergies,24,1,0.0,0.0
RenewableEnergies,24,2,0.0,0.0
RenewableEnergies,24,3,0.0,0.0
RenewableEnergies,24,4,0.0,0.0
RenewableEnergies,24,5,0.0,0.0
RenewableEnergies,24,6,0.0,0.0
RenewableEnergies,25,1,0.0,0.0
RenewableEnergies,25,2,0.0,0.0
RenewableEnergies,25,3,0.0,0.0
RenewableEnergies,25,4,0.0,0.0
RenewableEnergies,25,5,0.0,0.0
RenewableEnergies,25,6,0.0,0.0
RenewableEnergies,26,1,0.0,0.0
RenewableEnergies,26,2,0.0,0.0
RenewableEnergies,26,3,0.0,0.0
RenewableEnergies,26,4,0.0,0.0
RenewableEnergies,26,5,0.0,0.0
RenewableEnergies,26,6,0.0,0.0
RenewableEnergies,27,1,0.0,0.0
RenewableEnergies,27,2,0.0,0.0
RenewableEnergies,27,3,0.0,0.0
RenewableEnergies,27,4,0.0,0.0
RenewableEnergies,27,5,0.0,0.0
RenewableEnergies,27,6,0.0,0.0
RenewableEnergies,28,1,0.0,0.0
RenewableEnergies,28,2,0.0,0.0
RenewableEnergies,28,3,0.0,0.0
RenewableEnergies,28,4,0.0,0.0
RenewableEnergies,28,5,0.0,0.0
RenewableEnergies,28,6,0.0,0.0
RenewableEnergies,29,1,0.0,0.0
RenewableEnergies,29,2,0.0,0.0
RenewableEnergies,29,3,0.0,0.0
RenewableEnergies,29,4,0.0,0.0
RenewableEnergies,29,5,0.0,0.0
RenewableEnergies,29,6,0.0,0.0
